NUM,DESIGNATION,DYN,BD,BD.E,BD.R,RNK,DIAM,D.E,D.R,MASS,M.E,M.R,G,T.T,T.B,L.T,L.B,T.D,C_TAX,C_BD,C_BD.E,C_BD.R,C_RNK
,10P/Tempel 2,COM,0.76,0.46,61,D,9.6,1.4,14,3.50e+14,1.50e+14,43,-,-,-,-,-,-,-,0.75,0.46,61,D
,1999 OJ4,TNO,0.34,0.35,104,E,130.0,45.0,35,3.91e+17,2.20e+16,6,-,-,-,-,-,-,-,0.33,0.35,106,E
,19P/Borrely,COM,0.05,0.04,82,X,4.8,0.4,8,2.70e+12,2.10e+12,78,-,-,-,-,-,-,-,0.12,0.09,75,X
,1P/Halley,COM,0.54,0.38,69,D,10.4,2.0,19,3.20e+14,1.20e+14,38,-,-,-,-,-,-,-,0.54,0.37,69,D
,2000 QL251,TNO,1.76,1.76,100,E,150.0,50.0,33,3.11e+18,5.10e+16,2,-,-,-,-,-,-,-,1.75,1.76,101,E
,2001 QC298,TNO,1.42,0.96,68,D,244.0,55.0,23,1.08e+19,7.00e+17,6,-,-,-,-,-,-,-,1.41,0.96,68,D
,2003 QY90,TNO,0.57,0.72,127,E,150.0,50.0,33,1.01e+18,7.85e+17,78,-,-,-,-,-,-,-,0.57,0.72,126,E
,2003 TJ58,TNO,1.02,1.02,100,E,75.0,25.0,33,2.25e+17,1.50e+16,7,-,-,-,-,-,-,-,1.01,1.02,101,E
,2004 PB108,TNO,6.74,7.23,107,E,140.0,50.0,36,9.68e+18,5.70e+17,6,-,-,-,-,-,-,-,6.73,7.22,107,E
,22P/Kopff,COM,0.22,0.12,53,D,3.6,0.4,11,5.30e+12,2.20e+12,42,-,-,-,-,-,-,-,0.21,0.11,52,D
,2P/Encke,COM,1.71,1.39,82,D,4.7,0.8,17,9.20e+13,5.80e+13,63,-,-,-,-,-,-,-,1.67,1.36,81,D
,45P/H-M-P,COM,1.26,2.59,205,E,0.7,0.2,30,1.90e+11,3.50e+11,184,-,-,-,-,-,-,-,1.26,2.59,206,E
,46P/Wirtanen,COM,0.41,0.30,71,D,1.1,0.1,5,3.30e+11,2.30e+11,70,-,-,-,-,-,-,-,0.4,0.28,70,D
,67P/C-G,COM,0.54,0.00,0,A,3.3,0.0,0,9.97e+12,1.50e+08,0,-,-,-,-,-,-,-,0.43,0.37,86,D
,6P/dArrest,COM,1.09,0.49,45,C,1.7,0.2,12,2.80e+12,8.00e+11,29,-,-,-,-,-,-,-,1.08,0.49,45,C
,81P/Wild 2,COM,1.44,0.89,62,D,2.2,0.4,20,8.10e+12,8.10e+11,10,-,-,-,-,-,-,-,0.7,0.1,14,B
,9P/Tempel 1,COM,0.45,0.23,50,C,5.6,0.5,8,4.21e+13,1.81e+13,43,-,-,-,-,-,-,-,0.48,0.06,12,B
,SL9,COM,0.51,0.16,32,C,1.8,0.2,10,1.53e+12,1.53e+11,10,-,-,-,-,-,-,-,0.5,0.05,10,B
1,Ceres,MBA,2.16,0.00,0,A,939.4,0.2,0,9.38e+20,2.11e+16,0,Y,G,C,C,C,C,C,2.13,0.15,7,A
2,Pallas,MBA,2.77,0.21,8,A,520.8,12.8,2,2.05e+20,4.48e+18,2,Y,B,B,-,-,B,B,2.86,0.32,11,A
3,Juno,MBA,3.16,0.44,14,B,251.6,9.0,4,2.63e+19,2.37e+18,9,Y,S,Sk,S,Sk,Sq,Sq,3.68,0.62,17,A
4,Vesta,MBA,3.41,0.00,0,A,525.4,0.2,0,2.59e+20,1.76e+17,0,Y,V,V,-,-,V,V,3.58,0.15,4,A
5,Astraea,MBA,3.62,0.62,17,B,115.6,3.4,3,2.93e+18,4.30e+17,15,-,S,S,-,-,S,S,3.45,0.66,19,B
6,Hebe,MBA,3.60,0.85,24,C,189.5,8.3,4,1.28e+19,2.51e+18,20,Y,S,S,-,-,-,S,3.81,0.5,13,A
7,Iris,MBA,3.18,0.80,25,C,203.8,12.4,6,1.41e+19,2.41e+18,17,Y,S,S,-,-,S,S,2.14,0.81,38,C
8,Flora,MBA,2.67,0.26,10,B,140.1,2.3,2,3.84e+18,3.29e+17,9,Y,S,-,-,-,Sw,S,6.5,1.28,20,X
9,Metis,MBA,3.16,0.69,22,C,169.5,7.2,4,8.06e+18,1.44e+18,18,Y,S,-,T,T,-,S,3.6,0.87,24,C
10,Hygiea,MBA,2.07,0.26,12,A,427.0,15.7,4,8.42e+19,4.91e+18,6,Y,C,C,-,-,C,C,2.19,0.42,19,A
11,Parthenope,MBA,2.78,0.25,9,A,153.7,2.6,2,5.28e+18,4.00e+17,8,Y,S,Sk,-,-,Sq,Sq,3.27,0.41,13,A
12,Victoria,MBA,2.32,0.66,28,C,124.1,8.2,7,2.32e+18,4.75e+17,20,Y,S,L,D,D,-,L,2.45,0.67,27,C
13,Egeria,MBA,1.73,0.84,49,C,211.2,10.1,5,8.55e+18,3.98e+18,47,Y,G,Ch,-,-,Ch,Ch,1.7,0.86,51,D
14,Irene,MBA,3.00,0.80,27,C,147.5,5.2,4,5.04e+18,1.24e+18,25,Y,S,S,-,-,S,S,1.72,1.12,65,D
15,Eunomia,MBA,3.48,0.45,13,B,259.0,10.7,4,3.16e+19,1.25e+18,4,Y,S,S,-,-,K,K,3.54,0.2,6,B
16,Psyche,MBA,3.90,0.29,7,A,223.7,1.9,1,2.29e+19,1.60e+18,7,Y,M,X,-,-,Xk,Xk,3.38,1.16,34,C
17,Thetis,MBA,2.88,0.77,27,C,88.9,6.7,8,1.06e+18,1.55e+17,15,-,S,Sl,-,-,S,S,4.48,1.48,33,C
18,Melpomene,MBA,2.86,0.53,18,A,141.6,3.7,3,4.26e+18,7.06e+17,17,-,S,S,-,-,S,S,2.15,0.88,41,C
19,Fortuna,MBA,1.86,0.29,16,A,208.8,4.1,2,8.88e+18,1.29e+18,15,Y,G,Ch,-,-,Ch,Ch,1.85,0.35,19,A
20,Massalia,MBA,2.87,0.46,16,B,151.2,5.0,3,5.19e+18,6.44e+17,12,Y,S,S,-,-,S,S,3.71,1.05,28,C
21,Lutetia,MBA,3.45,0.53,15,A,98.0,5.0,5,1.70e+18,1.40e+16,1,-,M,Xk,X,X,Xc,Xk,3.44,0.52,15,A
22,Kalliope,MBA,3.01,0.45,15,A,170.5,8.0,5,7.81e+18,4.23e+17,5,-,M,X,-,-,X,X,3.08,0.58,19,B
23,Thalia,MBA,3.32,0.72,22,C,106.4,2.0,2,2.10e+18,4.36e+17,21,-,S,S,S,S,-,S,3.07,0.31,10,B
24,Themis,MBA,1.63,0.40,25,C,183.8,11.4,6,5.31e+18,8.48e+17,16,Y,C,B,B,C,C,C,1.81,0.67,37,C
25,Phocaea,MBA,2.33,0.64,28,C,81.1,4.2,5,6.51e+17,1.48e+17,23,-,S,S,S,Sa,S,S,2.21,0.44,20,C
26,Proserpina,MBA,1.69,0.86,51,D,89.5,3.6,4,6.36e+17,3.14e+17,49,-,S,S,-,-,S,S,1.98,2.38,120,E
27,Euterpe,MBA,3.78,1.98,52,D,110.3,2.0,2,2.66e+18,1.38e+18,52,Y,S,S,S,L,S,S,2.69,1.71,64,D
28,Bellona,MBA,3.27,1.13,35,C,115.0,10.5,9,2.60e+18,5.52e+17,21,-,S,S,-,-,S,S,3.95,1.28,32,C
29,Amphitrite,MBA,2.47,0.49,20,A,217.2,11.2,5,1.33e+19,1.65e+18,12,Y,S,S,S,L,S,S,2.38,0.51,21,C
30,Urania,MBA,3.33,0.54,16,B,100.0,1.7,2,1.74e+18,2.67e+17,15,-,S,Sl,-,-,S,S,3.92,1.29,33,C
31,Euphrosyne,MBA,1.39,0.55,40,C,273.5,13.6,5,1.49e+19,5.47e+18,37,Y,C,Cb,-,-,-,C,1.18,0.61,52,D
32,Pomona,MBA,2.50,1.20,48,C,81.6,3.1,4,7.13e+17,3.33e+17,47,-,S,S,-,-,Sw,-,-,-,-,-
33,Polyhymnia,MBA,75.32,9.72,13,X,54.0,0.9,2,6.20e+18,7.36e+17,12,-,S,Sq,S,S,S,S,75.28,9.71,13,X
34,Circe,MBA,4.63,1.21,26,C,113.5,4.0,4,3.54e+18,8.48e+17,24,-,C,Ch,-,-,Ch,Ch,4.83,0.63,13,X
35,Leukothea,MBA,1.96,0.91,46,C,103.0,2.4,2,1.12e+18,5.13e+17,46,-,C,C,-,-,-,-,-,-,-,-
36,Atalante,MBA,2.92,1.32,45,C,108.9,3.5,3,1.97e+18,8.69e+17,44,-,C,-,-,-,-,C,6.17,5.48,89,E
37,Fides,MBA,2.62,0.83,32,C,112.3,5.6,5,1.95e+18,5.43e+17,28,-,S,S,S,K,S,-,-,-,-,-
38,Leda,MBA,1.18,1.46,123,E,115.6,1.4,1,9.57e+17,1.18e+18,123,-,C,Cgh,-,-,Cgh,Cgh,7.09,6.79,96,E
39,Laetitia,MBA,2.32,0.65,28,C,160.2,5.1,3,5.00e+18,1.32e+18,27,-,S,S,-,-,Sqw,S,2.47,0.63,26,C
40,Harmonia,MBA,3.69,1.04,28,C,120.0,6.1,5,3.34e+18,7.92e+17,24,-,S,S,-,-,S,-,-,-,-,-
41,Daphne,MBA,1.97,0.29,15,B,181.3,7.7,4,6.14e+18,4.64e+17,8,-,C,Ch,-,-,Ch,Ch,2.03,0.32,16,B
42,Isis,MBA,2.43,0.81,33,C,103.5,2.0,2,1.41e+18,4.65e+17,33,Y,S,L,-,-,K,S,2.78,0.93,33,C
43,Ariadne,MBA,5.54,2.84,51,D,65.5,3.4,5,8.14e+17,3.96e+17,49,-,S,Sk,S,S,Sq,Sq,8.99,2.57,29,X
44,Nysa,MBA,2.20,1.10,50,C,73.5,2.2,3,4.58e+17,2.25e+17,49,-,E,Xc,-,-,-,-,-,-,-,-
45,Eugenia,MBA,1.37,0.22,16,A,207.0,8.3,4,6.37e+18,6.69e+17,11,-,FC,C,-,-,-,C,1.34,0.29,22,C
46,Hestia,MBA,1.65,1.81,110,E,125.9,5.2,4,1.72e+18,1.88e+18,109,-,P,Xc,-,-,-,Xc,5.81,0.87,15,E
47,Aglaja,MBA,1.30,1.06,81,D,140.2,6.8,5,1.87e+18,1.50e+18,80,-,C,B,B,B,-,B,2.17,1.19,55,D
48,Doris,MBA,1.24,0.38,30,C,223.4,6.7,3,7.22e+18,2.10e+18,29,Y,CG,Ch,-,-,Ch,Ch,1.23,0.62,50,D
49,Pales,MBA,1.70,0.95,56,D,150.2,3.2,2,3.02e+18,1.67e+18,55,-,CG,Ch,-,-,Ch,Ch,2.35,1.21,51,D
50,Virginia,MBA,1.57,0.73,47,C,99.6,3.2,3,8.14e+17,3.71e+17,46,-,X,Ch,Caa,Ch,Ch,Ch,4.49,1.35,30,E
51,Nemausa,MBA,1.71,0.46,27,C,147.0,3.2,2,2.85e+18,7.43e+17,26,Y,CU,Ch,-,-,Cgh,Ch,1.43,0.5,35,C
52,Europa,MBA,1.50,0.31,21,C,309.6,13.3,4,2.34e+19,3.77e+18,16,Y,CF,C,-,-,C,C,1.52,0.39,26,C
53,Kalypso,MBA,1.49,0.46,31,C,115.9,3.3,3,1.22e+18,3.64e+17,30,-,XC,-,-,-,-,C,8.28,7.54,91,X
54,Alexandra,MBA,2.23,1.29,58,D,143.5,3.0,2,3.45e+18,1.98e+18,57,Y,C,C,-,-,Cgh,Cgh,3.5,2.11,60,D
56,Melete,MBA,4.57,1.07,24,C,124.2,4.3,3,4.58e+18,9.67e+17,21,-,P,Xk,X,X,Xk,Xk,6.0,1.31,22,C
57,Mnemosyne,MBA,3.85,1.76,46,C,114.9,3.3,3,3.05e+18,1.37e+18,45,Y,S,S,S,S,S,S,16.62,3.73,22,X
58,Concordia,MBA,0.63,0.32,51,D,96.7,3.6,4,2.96e+17,1.48e+17,50,-,C,Ch,Caa,Cgh,Ch,-,-,-,-,-
59,Elpis,MBA,1.34,0.35,26,C,163.8,9.1,6,3.08e+18,6.23e+17,20,-,CP,B,-,-,-,B,1.3,0.26,20,C
60,Echo,MBA,2.79,0.33,12,B,59.9,1.2,2,3.15e+17,3.15e+16,10,Y,S,S,-,-,-,S,2.78,0.33,12,B
61,Danae,MBA,9.74,9.45,97,X,82.8,3.5,4,2.89e+18,2.78e+18,96,-,S,S,-,-,S,S,9.81,9.49,97,D
62,Erato,MBA,1.07,0.54,50,D,80.7,2.1,3,2.93e+17,1.46e+17,50,-,BU,Ch,B,B,-,-,-,-,-,-
63,Ausonia,MBA,2.56,0.53,21,C,101.8,4.7,5,1.41e+18,2.16e+17,15,-,S,Sa,-,-,Sw,S,3.46,0.86,25,C
65,Cybele,MBA,1.99,0.50,25,C,250.1,18.4,7,1.63e+19,2.03e+18,12,-,P,Xc,C,C,Xk,Xk,1.7,0.52,31,C
67,Asia,MBA,8.59,1.23,14,X,61.2,2.1,4,1.03e+18,9.95e+16,10,-,S,S,-,-,S,S,8.66,1.32,15,X
68,Leto,MBA,2.63,0.99,38,C,126.6,4.5,4,2.80e+18,1.01e+18,36,Y,S,-,S,S,-,S,3.21,1.92,60,D
69,Hesperia,MBA,4.33,1.11,26,C,136.8,5.4,4,5.80e+18,1.32e+18,23,-,M,X,-,-,Xk,Xk,4.38,0.99,23,C
70,Panopaea,MBA,2.33,0.84,36,C,135.2,4.7,3,3.01e+18,1.04e+18,35,-,C,Ch,-,-,Cgh,Cgh,3.48,1.05,30,C
71,Niobe,MBA,2.57,1.48,58,D,78.8,8.0,10,6.57e+17,3.23e+17,49,-,S,Xe,-,-,-,-,-,-,-,-
72,Feronia,MBA,1.81,0.85,47,C,83.7,3.3,4,5.56e+17,2.53e+17,46,-,TDG,-,-,-,-,D,10.71,27.44,256,X
74,Galatea,MBA,0.99,0.80,81,D,121.9,7.4,6,9.34e+17,7.41e+17,79,Y,C,C,-,-,-,C,6.66,5.94,89,D
75,Eurydike,MBA,3.13,1.50,48,C,66.4,3.9,6,4.79e+17,2.13e+17,44,-,M,Xk,-,-,-,-,-,-,-,-
76,Freia,MBA,1.85,1.43,77,D,164.0,7.8,5,4.27e+18,3.24e+18,76,Y,P,X,-,-,C,C,0.79,1.69,214,E
77,Frigga,MBA,2.67,3.32,124,E,67.0,1.3,2,4.20e+17,5.22e+17,124,-,MU,Xe,-,-,Xe,Xe,11.05,4.34,39,X
78,Diana,MBA,1.62,0.70,43,C,123.2,4.6,4,1.58e+18,6.64e+17,42,-,C,Ch,Caa,Ch,Ch,Ch,1.28,0.19,15,B
79,Eurynome,MBA,2.36,1.39,59,D,62.1,6.8,11,2.96e+17,1.45e+17,49,-,S,S,-,-,-,-,-,-,-,-
80,Sappho,MBA,2.13,1.01,47,C,81.5,5.4,7,6.03e+17,2.58e+17,43,-,S,S,-,-,-,-,-,-,-,-
81,Terpsichore,MBA,2.92,0.86,29,C,121.4,2.1,2,2.73e+18,7.89e+17,29,-,C,Cb,-,-,-,Cb,6.54,5.62,86,D
82,Alkmene,MBA,1.68,0.86,51,D,65.1,2.5,4,2.42e+17,1.21e+17,50,-,S,Sq,-,-,S,-,-,-,-,-
83,Beatrix,MBA,1.93,1.06,55,D,85.3,7.4,9,6.26e+17,3.05e+17,49,-,X,X,-,-,-,-,-,-,-,-
84,Klio,MBA,1.44,0.57,40,C,79.1,1.6,2,3.73e+17,1.47e+17,39,-,G,Ch,Caa,Ch,Ch,Ch,2.08,1.55,75,D
85,Io,MBA,1.39,0.77,55,D,161.9,5.2,3,3.10e+18,1.68e+18,54,-,FC,B,C,Cb,C,Cb,1.31,0.77,59,D
86,Semele,MBA,1.95,0.99,51,D,117.7,6.5,6,1.66e+18,7.99e+17,48,-,C,-,-,-,-,-,-,-,-,-
87,Sylvia,MBA,1.34,0.19,15,B,278.0,10.8,4,1.51e+19,1.30e+18,9,Y,P,X,X,X,X,X,1.31,0.15,11,B
88,Thisbe,MBA,2.14,0.34,16,A,209.5,7.5,4,1.03e+19,1.20e+18,12,Y,CF,B,-,-,-,B,3.44,0.84,24,C
89,Julia,MBA,4.01,1.61,40,C,147.3,4.9,3,6.71e+18,2.62e+18,39,Y,S,K,S,Ld,-,X,3.98,1.27,32,C
90,Antiope,MBA,1.15,0.16,14,B,111.5,5.0,4,8.36e+17,2.98e+16,4,-,C,C,Caa,Ch,C,C,0.86,0.06,7,B
91,Aegina,MBA,0.69,0.40,58,D,123.1,12.9,10,6.77e+17,3.29e+17,49,Y,CP,Ch,Caa,Ch,-,-,-,-,-,-
92,Undina,MBA,4.64,1.75,38,C,124.7,2.6,2,4.71e+18,1.76e+18,37,-,X,Xc,-,-,Xk,Xk,4.39,0.42,10,B
93,Minerva,MBA,2.00,0.39,20,B,149.6,8.0,5,3.50e+18,4.00e+17,11,-,CU,C,C,Cb,C,C,1.98,0.39,20,B
94,Aurora,MBA,1.08,1.08,100,D,195.3,10.1,5,4.23e+18,4.16e+18,99,-,CP,C,-,-,-,C,1.83,1.1,60,D
95,Arethusa,MBA,2.11,1.54,73,D,126.7,10.4,8,2.25e+18,1.54e+18,69,-,C,Ch,Caa,Ch,-,-,-,-,-,-
96,Aegle,MBA,2.67,1.97,74,D,168.9,8.5,5,6.72e+18,4.86e+18,72,-,T,T,-,-,T,T,2.61,2.53,97,D
97,Klotho,MBA,4.80,1.01,21,C,81.6,2.6,3,1.37e+18,2.54e+17,19,-,M,-,-,-,Xc,Xc,4.16,0.62,15,B
98,Ianthe,MBA,1.51,0.32,21,C,103.9,1.1,1,8.90e+17,1.88e+17,21,-,CG,Ch,Caa,Ch,-,Ch,1.42,0.35,25,C
99,Dike,MBA,2.23,1.08,48,C,75.7,2.9,4,5.08e+17,2.39e+17,47,-,C,Xk,-,-,Xk,-,-,-,-,-
100,Hekate,MBA,2.29,1.14,50,C,88.8,1.5,2,8.40e+17,4.15e+17,49,Y,S,S,-,-,-,-,-,-,-,-
102,Miriam,MBA,4.46,1.88,42,C,88.0,5.8,7,1.59e+18,5.93e+17,37,-,P,C,-,-,-,-,-,-,-,-
103,Hera,MBA,4.78,2.87,60,D,74.1,8.6,12,1.02e+18,4.97e+17,49,-,S,S,-,-,S,-,-,-,-,-
104,Klymene,MBA,1.76,0.61,35,C,117.7,10.2,9,1.50e+18,3.41e+17,23,-,C,Ch,Caa,Ch,-,-,-,-,-,-
105,Artemis,MBA,1.90,0.53,28,C,108.2,8.4,8,1.26e+18,1.92e+17,15,-,C,Ch,Caa,Ch,Ch,Ch,1.73,0.67,39,C
106,Dione,MBA,1.96,0.86,44,C,147.8,4.1,3,3.31e+18,1.43e+18,43,Y,G,Cgh,Caa,Cgh,Cgh,Cgh,1.83,0.92,50,D
107,Camilla,MBA,1.77,0.39,22,C,228.2,15.6,7,1.10e+19,8.65e+17,8,-,C,X,X,X,-,X,2.28,0.29,13,B
109,Felicitas,MBA,1.18,0.58,49,C,82.6,2.7,3,3.47e+17,1.67e+17,48,-,GC,Ch,Caa,Ch,-,-,-,-,-,-
110,Lydia,MBA,4.88,1.75,36,C,78.5,7.8,10,1.23e+18,2.44e+17,20,-,M,X,-,-,Xk,-,-,-,-,-
111,Ate,MBA,1.15,0.37,32,C,141.8,6.0,4,1.72e+18,5.05e+17,29,-,C,Ch,-,-,Ch,Ch,1.15,0.32,28,C
112,Iphigenia,MBA,1.68,0.83,49,C,71.1,1.5,2,3.16e+17,1.55e+17,49,-,DCX,Ch,Caa,Ch,-,Ch,10.48,36.06,344,X
113,Amalthea,MBA,2.15,1.19,56,D,50.3,4.1,8,1.44e+17,7.16e+16,50,Y,S,S,-,-,-,-,-,-,-,-
114,Kassandra,MBA,2.62,1.19,45,C,88.1,9.7,11,9.41e+17,2.90e+17,31,Y,T,Xk,-,-,K,-,-,-,-,-
115,Thyra,MBA,1.06,0.56,52,D,83.0,4.9,6,3.18e+17,1.57e+17,49,-,S,S,S,K,S,-,-,-,-,-
117,Lomia,MBA,3.77,1.31,35,C,142.8,2.0,1,5.75e+18,1.98e+18,35,-,XC,X,X,X,-,X,3.67,0.48,13,B
118,Peitho,MBA,1.39,0.94,68,D,44.5,6.8,15,6.42e+16,3.21e+16,50,-,S,S,-,-,-,-,-,-,-,-
120,Lachesis,MBA,1.64,0.44,27,C,184.5,4.0,2,5.41e+18,1.39e+18,26,-,C,C,-,-,-,-,-,-,-,-
121,Hermione,MBA,1.48,0.14,9,B,185.6,4.1,2,4.97e+18,3.32e+17,7,Y,C,Ch,-,-,-,Ch,1.27,0.22,17,B
124,Alkeste,MBA,4.74,2.22,47,C,76.7,2.0,3,1.12e+18,5.17e+17,46,-,S,S,-,-,-,-,-,-,-,-
126,Velleda,MBA,8.64,106.21,1229,X,47.0,1.9,4,4.71e+17,5.79e+18,1229,-,S,-,-,-,-,S,10.0,123.0,1230,X
127,Johanna,MBA,1.66,1.23,74,D,113.7,3.9,3,1.27e+18,9.38e+17,74,-,CX,Ch,Caa,Ch,-,Ch,3.75,1.68,45,C
128,Nemesis,MBA,1.63,0.66,41,C,185.3,4.7,3,5.42e+18,2.16e+18,40,Y,C,C,-,-,C,C,1.82,0.79,43,C
129,Antigone,MBA,4.35,2.14,49,C,122.0,4.7,4,4.13e+18,1.98e+18,48,Y,M,X,-,-,-,X,2.96,1.04,35,C
130,Elektra,MBA,1.76,0.23,13,B,191.0,6.3,3,6.42e+18,5.40e+17,8,-,G,Ch,Caa,Ch,Ch,Ch,1.84,0.22,12,B
132,Aethra,MBA,5.09,7.72,152,E,44.2,1.5,3,2.29e+17,3.47e+17,151,-,M,Xe,-,-,Xe,Xe,17.09,112.83,660,X
134,Sophrosyne,MBA,1.14,0.53,46,C,125.0,3.9,3,1.17e+18,5.30e+17,45,-,C,Ch,-,-,-,-,-,-,-,-
135,Hertha,MBA,4.45,0.63,14,B,78.1,2.0,3,1.11e+18,1.31e+17,12,-,M,Xk,-,-,-,Xk,5.23,0.96,18,B
137,Meliboea,MBA,2.52,1.25,49,C,145.0,3.9,3,4.03e+18,1.97e+18,49,-,C,-,-,-,-,C,4.46,1.91,43,E
