NUM,DESIGNATION,DYN,BD,BD.E,BD.R,RNK,DIAM,D.E,D.R,MASS,M.E,M.R,G,T.T,T.B,L.T,L.B,T.D,C_TAX,C_BD,C_BD.E,C_BD.R,C_RNK
469,Argentina,MBA,3.37,1.82,54,D,125.5,4.6,4,3.49e+18,1.84e+18,53,-,X,-,X,Xk,-,Xk,4.32,1.75,41,C
471,Papagena,MBA,2.75,1.07,39,C,135.1,6.3,5,3.55e+18,1.29e+18,36,-,S,S,-,-,-,S,3.01,1.82,60,D
476,Hedwig,MBA,1.60,0.41,26,C,124.3,3.5,3,1.61e+18,3.90e+17,24,-,P,X,-,-,-,-,-,-,-,-
481,Emita,MBA,1.75,2.79,160,E,107.2,4.7,4,1.13e+18,1.80e+18,159,-,C,Ch,-,-,-,Ch,8.95,2.53,28,C
485,Genua,MBA,1.65,0.88,54,D,55.7,3.6,7,1.49e+17,7.46e+16,50,-,-,S,S,S,S,S,14.53,5.68,39,X
488,Kreusa,MBA,1.24,0.20,16,B,154.2,4.6,3,2.39e+18,3.11e+17,13,-,C,-,Caa,Ch,-,Ch,1.1,0.54,49,C
489,Comacina,MBA,0.79,0.43,55,D,125.7,9.9,8,8.19e+17,4.06e+17,50,-,C,-,X,X,-,-,-,-,-,-
490,Veritas,MBA,2.26,2.51,111,E,112.3,2.1,2,1.68e+18,1.86e+18,111,-,C,Ch,-,-,-,Ch,8.37,3.23,39,C
491,Carina,MBA,4.58,3.11,68,D,97.1,2.4,2,2.20e+18,1.49e+18,68,-,-,C,X,X,-,X,9.97,4.15,42,C
498,Tokio,MBA,1.95,1.03,53,D,84.5,5.8,7,6.16e+17,2.98e+17,48,-,M,-,-,-,-,-,-,-,-,-
503,Evelyn,MBA,3.23,3.53,109,E,86.1,3.7,4,1.08e+18,1.17e+18,108,-,XC,Ch,-,-,-,Ch,8.1,1.38,17,X
505,Cava,MBA,2.57,1.59,62,D,101.4,1.8,2,1.40e+18,8.62e+17,61,-,FC,-,-,-,-,Xk,7.28,7.02,96,D
506,Marion,MBA,4.16,2.29,55,D,99.8,8.9,9,2.17e+18,1.04e+18,48,-,XC,-,X,X,-,-,-,-,-,-
508,Princetonia,MBA,1.89,0.77,41,C,132.7,4.6,3,2.31e+18,9.15e+17,40,-,C,-,X,X,-,X,2.09,0.47,22,C
511,Davida,MBA,2.15,0.78,36,C,301.1,15.3,5,3.08e+19,1.02e+19,33,-,C,C,X,X,-,C,2.43,0.79,33,C
514,Armida,MBA,2.09,1.05,50,D,110.4,3.7,3,1.48e+18,7.25e+17,49,Y,XC,-,X,Xe,-,-,-,-,-,-
516,Amherstia,MBA,2.08,1.48,71,D,75.2,2.7,4,4.63e+17,3.25e+17,70,-,M,X,-,-,-,X,8.01,7.6,95,D
517,Edith,MBA,2.44,1.36,56,D,80.8,6.9,9,6.74e+17,3.35e+17,50,-,X,-,X,C,-,-,-,-,-,-
521,Brixia,MBA,0.68,0.35,51,D,113.2,5.8,5,5.17e+17,2.51e+17,49,Y,C,Ch,Caa,Ch,-,-,-,-,-,-
532,Herculina,MBA,2.37,0.92,39,C,215.2,11.8,6,1.24e+19,4.35e+18,35,Y,S,S,-,-,S,S,2.12,0.53,25,C
535,Montague,MBA,0.74,0.38,51,D,74.0,2.9,4,1.58e+17,7.86e+16,50,-,C,-,-,-,-,-,-,-,-,-
536,Merapi,MBA,5.39,4.77,88,D,155.6,5.9,4,1.06e+19,9.31e+18,88,-,X,-,X,X,-,X,13.36,2.59,19,X
545,Messalina,OMB,1.36,0.68,50,C,117.2,3.9,3,1.15e+18,5.63e+17,49,-,CD,Cb,C,Cb,-,-,-,-,-,-
547,Praxedis,MBA,2.52,1.47,58,D,47.9,4.8,10,1.45e+17,7.25e+16,50,-,XD:,Xk,T,T,-,-,-,-,-,-
554,Peraga,MBA,1.58,0.23,15,B,96.0,1.7,2,7.30e+17,1.00e+17,14,-,FC,Ch,-,-,-,Ch,1.4,0.15,11,B
566,Stereoskopia,OMB,1.91,0.49,25,C,173.9,6.3,4,5.26e+18,1.21e+18,23,Y,C,-,-,-,-,-,-,-,-,-
568,Cheruskia,MBA,0.95,0.49,52,D,88.2,3.9,4,3.41e+17,1.70e+17,50,-,-,-,C,C,-,-,-,-,-,-
569,Misa,MBA,1.32,0.67,51,D,75.1,2.7,4,2.93e+17,1.46e+17,50,-,C,Cg,Caa,Ch,-,-,-,-,-,-
582,Olympia,MBA,9.98,27.31,274,X,43.4,1.5,4,4.28e+17,1.17e+18,273,-,S,-,-,-,-,S,10.0,27.35,274,X
584,Semiramis,MBA,2.87,2.89,101,E,51.5,2.3,4,2.05e+17,2.05e+17,100,-,S,Sl,-,-,-,S,11.31,8.06,71,X
585,Bilkis,MBA,0.33,0.18,55,D,60.2,3.8,6,3.72e+16,1.93e+16,52,-,C,-,-,-,-,-,-,-,-,-
591,Irmgard,MBA,2.48,1.26,51,D,54.1,2.5,5,2.05e+17,1.01e+17,49,-,X,-,-,-,-,-,-,-,-,-
593,Titania,MBA,1.75,0.88,50,D,77.1,2.9,4,4.20e+17,2.05e+17,49,-,C,-,-,-,-,-,-,-,-,-
595,Polyxena,OMB,0.83,0.42,51,D,113.1,3.2,3,6.27e+17,3.13e+17,50,-,-,-,T,T,-,-,-,-,-,-
596,Scheila,MBA,3.42,2.63,77,D,112.6,3.6,3,2.56e+18,1.95e+18,76,-,PCD,T,-,-,T,-,-,-,-,-
598,Octavia,MBA,0.88,0.55,62,D,66.9,8.2,12,1.38e+17,6.90e+16,50,-,C:,X,D,Cb,-,-,-,-,-,-
599,Luisa,MBA,2.06,1.04,50,D,76.5,3.5,5,4.82e+17,2.33e+17,48,-,S,K,-,-,L,-,-,-,-,-
602,Marianna,MBA,1.04,0.51,49,C,127.8,2.2,2,1.14e+18,5.52e+17,49,-,C,-,Caa,Ch,-,Ch,9.29,0.76,8,X
604,Tekmessa,MBA,2.41,1.22,51,D,65.9,1.8,3,3.61e+17,1.80e+17,50,-,-,Xc,-,-,-,Xc,10.35,2.46,24,X
617,Patroclus,MBA,0.94,0.09,9,B,140.4,2.3,2,1.36e+18,1.09e+17,8,-,P,-,-,-,-,X,0.88,0.17,19,B
618,Elfriede,MBA,2.16,1.59,74,D,117.4,19.7,17,1.83e+18,9.81e+17,54,-,C,-,C,C,-,-,-,-,-,-
623,Chimaera,MBA,0.89,0.45,51,D,47.5,1.4,3,4.99e+16,2.50e+16,50,-,XC,-,-,-,-,-,-,-,-,-
624,Hektor,MBA,1.37,0.26,19,B,239.0,14.1,6,9.82e+18,6.77e+17,7,-,D,-,-,-,-,X,1.63,0.32,20,C
626,Notburga,MBA,1.72,1.88,109,E,100.2,2.0,2,9.07e+17,9.87e+17,109,-,CX,Xc,C,Cb,-,Cb,6.81,2.9,43,E
635,Vundtia,MBA,1.08,0.61,56,D,88.2,7.5,8,3.88e+17,1.94e+17,50,-,C,-,Caa,B,-,-,-,-,-,-
654,Zelinda,MBA,1.31,0.24,18,B,123.9,4.3,3,1.31e+18,1.91e+17,15,Y,C,Ch,-,-,-,Ch,1.23,0.19,15,B
663,Gerlinde,MBA,2.35,1.51,64,D,109.3,15.7,14,1.61e+18,7.69e+17,48,-,X,-,X,X,-,-,-,-,-,-
665,Sabine,MBA,9.05,5.19,57,X,52.8,1.2,2,6.98e+17,3.98e+17,57,-,-,-,X,X,-,X,9.1,5.2,57,E
667,Denise,MBA,1.44,0.73,51,D,86.7,3.4,4,4.91e+17,2.44e+17,50,-,-,-,C,C,-,-,-,-,-,-
674,Rachele,MBA,2.53,1.21,48,C,99.5,2.6,3,1.30e+18,6.17e+17,47,-,S,S,-,-,-,-,-,-,-,-
675,Ludmilla,MBA,3.99,1.94,49,C,67.7,0.9,1,6.47e+17,3.14e+17,49,Y,S,S,-,-,Sw,S,73.99,15.05,20,X
679,Pax,MBA,4.95,1.45,29,C,65.1,1.9,3,7.14e+17,1.99e+17,28,-,I,K,-,-,L,L,4.99,1.62,32,C
680,Genoveva,MBA,4.37,2.06,47,C,84.7,1.7,2,1.39e+18,6.50e+17,47,-,XC,-,X,X,-,X,8.45,0.52,6,X
683,Lanzia,MBA,4.49,2.69,60,D,94.5,11.4,12,1.99e+18,9.50e+17,48,-,-,-,C,C,-,-,-,-,-,-
690,Wratislavia,MBA,1.30,0.44,34,C,135.9,2.4,2,1.71e+18,5.70e+17,33,-,CPF,-,B,B,-,B,7.81,1.77,23,X
691,Lehigh,MBA,2.07,1.35,65,D,83.0,11.6,14,6.20e+17,3.08e+17,50,-,CD:,-,-,-,-,-,-,-,-,-
694,Ekard,MBA,2.46,0.96,39,C,92.9,3.7,4,1.03e+18,3.83e+17,37,-,CP:,-,Caa,Ch,-,-,-,-,-,-
696,Leonora,MBA,2.41,1.22,51,D,80.9,3.0,4,6.68e+17,3.31e+17,50,-,XC,-,X,X,-,-,-,-,-,-
702,Alauda,MBA,2.70,1.94,72,D,189.0,12.7,7,9.54e+18,6.58e+18,69,-,C,B,C,X,-,B,1.64,0.99,60,D
704,Interamnia,MBA,2.10,0.38,18,A,318.3,10.9,3,3.54e+19,5.23e+18,15,Y,F,B,B,B,-,B,1.96,0.28,14,A
705,Erminia,MBA,4.02,2.39,60,D,131.4,5.5,4,4.78e+18,2.78e+18,58,-,X,C,X,X,-,-,-,-,-,-
709,Fringilla,MBA,4.12,1.98,48,C,96.9,3.1,3,1.96e+18,9.25e+17,47,-,X,-,-,-,-,-,-,-,-,-
712,Boliviana,MBA,1.83,0.62,34,C,136.9,3.4,3,2.45e+18,8.06e+17,33,-,C,X,-,-,-,-,-,-,-,-
713,Luscinia,OMB,1.18,0.60,51,D,106.5,3.9,4,7.49e+17,3.72e+17,50,-,C,C,X,Ch,-,-,-,-,-,-
720,Bohlinia,MBA,2.81,0.53,19,B,34.4,1.5,4,5.97e+16,7.96e+15,13,-,S,Sq,-,-,Sq,Sq,2.74,0.56,20,C
735,Marghanna,MBA,1.31,0.66,50,D,71.9,2.1,3,2.56e+17,1.26e+17,49,-,C,Ch,-,-,-,Ch,10.87,3.56,33,X
739,Mandeville,MBA,1.94,0.99,51,D,105.7,2.6,2,1.20e+18,6.05e+17,50,Y,X,X,X,X,Xc,Xc,1.88,1.74,93,D
740,Cantabia,MBA,3.68,2.00,54,D,85.1,6.7,8,1.19e+18,5.82e+17,49,-,CX,-,C,Cb,-,-,-,-,-,-
747,Winchester,MBA,1.65,0.57,34,C,170.6,4.9,3,4.30e+18,1.43e+18,33,-,PC,C,B,B,-,B,1.47,0.87,59,D
751,Faina,MBA,2.66,1.88,71,D,107.3,1.4,1,1.72e+18,1.22e+18,71,Y,C,Ch,-,-,-,Ch,5.05,0.92,18,B
752,Sulamitis,MBA,1.34,0.75,56,D,63.3,5.2,8,1.78e+17,8.91e+16,50,-,-,-,Caa,Ch,-,-,-,-,-,-
758,Mancunia,MBA,2.74,0.32,12,B,86.5,2.2,3,9.31e+17,7.96e+16,9,-,X,-,-,-,-,X,2.69,0.26,10,B
760,Massinga,MBA,2.98,1.58,53,D,71.0,1.3,2,5.60e+17,2.95e+17,53,-,SU,-,S,Sl,-,S,7.15,7.1,99,D
762,Pulcova,MBA,0.83,0.14,17,B,141.9,2.3,2,1.24e+18,2.03e+17,16,-,F,-,C,Cb,-,Cb,1.0,0.14,14,B
769,Tatjana,MBA,4.09,4.38,107,E,105.4,3.8,4,2.51e+18,2.67e+18,107,-,-,-,-,-,-,-,10.03,1.52,15,X
772,Tanete,MBA,1.56,3.42,220,E,124.4,16.3,13,1.57e+18,3.39e+18,216,-,C,-,C,Cb,-,-,-,-,-,-
773,Irmintraud,MBA,1.31,0.72,55,D,87.4,6.8,8,4.59e+17,2.29e+17,50,-,D,T,-,-,T,-,-,-,-,-
776,Berbericia,MBA,1.30,1.20,93,D,151.8,3.1,2,2.37e+18,2.19e+18,92,Y,C,Cgh,-,-,Cgh,Cgh,1.18,1.46,124,E
778,Theobalda,MBA,1.10,0.65,59,D,63.4,6.6,10,1.47e+17,7.35e+16,50,-,F,-,C,C,-,-,-,-,-,-
780,Armenia,MBA,2.90,1.46,50,D,97.3,3.2,3,1.40e+18,6.89e+17,49,-,-,-,C,C,-,-,-,-,-,-
784,Pickeringia,MBA,0.65,0.33,50,D,89.1,1.8,2,2.42e+17,1.21e+17,50,-,-,C,-,-,-,C,12.7,3.49,27,X
786,Bredichina,MBA,3.91,2.28,58,D,98.6,9.6,10,1.96e+18,9.93e+17,51,-,C,-,-,-,-,C,5.66,5.69,101,E
788,Hohensteina,MBA,2.15,1.11,51,D,112.0,5.9,5,1.58e+18,7.73e+17,49,-,-,-,Caa,Ch,-,-,-,-,-,-
790,Pretoria,MBA,2.10,0.91,43,C,170.4,3.2,2,5.44e+18,2.32e+18,43,-,P,-,X,X,-,X,2.09,0.45,22,C
791,Ani,MBA,1.07,0.62,59,D,101.6,10.5,10,5.86e+17,2.91e+17,50,-,C,-,C,Ch,-,-,-,-,-,-
804,Hispania,MBA,2.93,1.11,38,C,147.8,8.4,6,4.94e+18,1.67e+18,34,-,PC,C,C,C,-,C,2.93,1.06,36,C
809,Lundia,MBA,1.64,0.55,33,C,10.3,0.1,1,9.27e+14,3.09e+14,33,-,-,-,V,V,-,V,1.64,0.1,6,B
814,Tauris,MBA,1.39,0.68,49,C,119.9,4.0,3,1.25e+18,5.98e+17,48,-,C,C,X,X,-,-,-,-,-,-
849,Ara,MBA,4.29,2.18,51,D,73.0,3.0,4,8.74e+17,4.30e+17,49,-,M,-,-,-,-,-,-,-,-,-
854,Frostia,MBA,3.42,3.43,100,E,8.4,1.3,15,1.06e+15,9.50e+14,90,-,-,-,-,-,-,V,0.88,0.13,15,B
895,Helio,MBA,2.74,1.83,67,D,149.2,5.0,3,4.76e+18,3.14e+18,66,-,FCB,B,-,-,-,B,5.76,3.58,62,D
909,Ulla,OMB,2.76,1.33,48,C,118.9,3.0,2,2.43e+18,1.16e+18,48,-,X,-,-,-,-,-,-,-,-,-
914,Palisana,MBA,1.48,0.74,50,C,77.5,2.7,3,3.61e+17,1.76e+17,49,-,CU,-,Caa,Ch,-,Ch,8.36,1.85,22,X
939,Isberga,MBA,3.53,3.36,95,D,12.4,0.6,5,3.52e+15,3.32e+15,94,-,S,-,-,-,-,-,-,-,-,-
949,Hel,MBA,12.31,5.14,42,X,64.5,4.7,7,1.73e+18,6.17e+17,36,-,-,-,X,Xk,-,Xk,12.86,5.19,40,X
980,Anacostia,MBA,1.85,1.00,54,D,79.9,6.0,7,4.93e+17,2.44e+17,49,-,SU,L,-,-,-,-,-,-,-,-
1013,Tombecka,MBA,6.39,53.43,836,E,37.1,1.4,4,1.71e+17,1.43e+18,836,-,XSC,-,X,Xk,-,Xk,7.5,62.74,837,E
1015,Christa,MBA,1.97,3.25,165,E,99.5,2.3,2,1.01e+18,1.67e+18,165,-,C,Xc,-,-,-,Xc,9.17,1.46,16,X
1021,Flammario,MBA,1.84,0.84,46,C,98.8,3.0,3,9.27e+17,4.18e+17,45,-,F,B,C,Cb,-,Cb,10.03,1.02,10,X
1036,Ganymed,NEA,2.76,1.23,45,C,35.7,0.6,2,6.58e+16,2.92e+16,44,-,S,S,S,S,S,S,7.91,15.1,191,X
1089,Tama,MBA,0.70,0.27,38,C,13.4,0.6,5,8.90e+14,3.20e+14,36,-,-,-,S,S,-,S,2.52,0.29,12,B
1093,Freda,MBA,0.96,0.48,50,C,121.3,4.3,4,9.02e+17,4.41e+17,49,-,C,-,-,-,-,-,-,-,-,-
1107,Lictoria,MBA,3.57,1.85,52,D,84.1,3.5,4,1.11e+18,5.60e+17,50,-,-,Xc,-,-,-,-,-,-,-,-
1171,Rusthawelia,MBA,3.07,1.54,50,D,70.6,1.9,3,5.67e+17,2.80e+17,49,-,P,-,X,X,-,X,9.66,1.45,15,X
1313,Berna,MBA,1.59,1.43,90,D,13.9,0.6,4,2.25e+15,2.00e+15,89,-,-,-,-,-,-,S,1.21,0.14,12,B
1428,Mombasa,MBA,43.03,14.78,34,X,55.1,5.0,9,3.78e+18,7.95e+17,21,-,-,Xc,-,-,-,-,-,-,-,-
1467,Mashona,OMB,0.93,0.49,53,D,89.2,0.7,1,3.45e+17,1.83e+17,53,-,GC,-,Caa,Ch,-,-,-,-,-,-
1669,Dagmar,MBA,1.28,0.43,33,C,39.0,3.5,9,3.98e+16,7.96e+15,20,-,G:,-,-,-,-,Cg,0.95,0.27,28,C
1686,De Sitter,MBA,430.61,213.19,50,X,31.1,1.6,5,6.76e+18,3.18e+18,47,-,-,-,-,-,-,-,450.51,220.97,49,X
3169,Ostro,MBA,2.60,0.88,34,C,5.2,0.1,2,1.86e+14,6.20e+13,33,-,TS,Xe,C,Cb,-,Xe,2.59,0.2,8,B
3671,Dionysus,NEA,1.94,0.93,48,C,0.9,0.1,11,8.38e+11,2.79e+11,33,-,-,Cb,-,-,-,Cb,1.6,0.6,37,C
3749,Balam,MBA,2.83,3.65,129,E,7.0,3.0,43,5.09e+14,1.99e+13,4,-,-,-,-,-,-,S,2.83,3.64,129,E
4492,Debussy,MBA,0.49,0.74,151,E,10.9,4.4,40,3.33e+14,3.00e+14,90,-,-,-,-,-,-,-,0.9,0.1,11,B
5381,Sekhmet,NEA,1.99,0.89,45,C,1.0,0.1,10,1.04e+12,3.46e+11,33,-,-,-,-,-,-,S,1.98,0.65,33,C
25143,Itokawa,NEA,2.04,0.20,10,A,0.3,0.0,3,3.50e+10,1.05e+09,3,-,-,-,-,-,-,S,1.91,0.21,11,A
26308,1998 SM165,TNO,0.56,0.24,43,C,284.9,23.2,8,6.78e+18,2.40e+18,35,-,-,-,-,-,-,-,0.56,0.2,36,C
35107,1991 VH,NEA,1.85,0.61,33,C,1.1,0.1,10,1.40e+12,1.40e+11,10,-,-,Sk,-,-,Sq,Sq,1.5,0.5,33,C
42355,Typhon,TNO,0.32,0.04,14,B,178.9,7.5,4,9.49e+17,5.20e+16,5,-,-,-,-,-,-,-,0.3,0.03,10,B
47171,1999 TC36,TNO,0.41,0.09,21,C,403.9,24.1,6,1.42e+19,1.66e+18,12,-,-,-,-,-,-,-,0.41,0.03,7,B
50000,Quaoar,TNO,2.08,0.25,12,B,1110.0,5.0,0,1.49e+21,1.75e+20,12,-,-,-,-,-,-,-,3.6,1.7,47,C
58534,Logos,TNO,0.39,0.42,110,E,110.0,40.0,36,2.70e+17,3.00e+16,11,-,-,-,-,-,-,-,0.38,0.42,111,E
65489,Ceto,TNO,0.44,0.07,16,B,286.5,13.7,5,5.41e+18,4.20e+17,8,-,-,-,-,-,-,-,0.65,0.23,35,C
65803,Didymos,NEA,1.95,0.62,32,C,0.8,0.1,10,5.24e+11,5.24e+10,10,-,-,-,-,-,-,-,1.9,0.53,28,C
66063,1998 RO1,NEA,2.15,1.56,73,D,0.7,0.1,18,3.60e+11,1.80e+11,50,-,-,-,-,-,-,S,2.79,1.47,53,D
66391,1999 KW4,NEA,1.95,0.16,8,B,1.3,0.0,2,2.35e+12,9.94e+10,4,-,-,-,-,-,-,S,1.8,0.29,16,B
66652,Borasisi,TNO,0.08,0.05,61,X,447.0,90.0,20,3.75e+18,4.00e+17,11,-,-,-,-,-,-,-,0.08,0.04,50,D
88611,2001 QT297,TNO,0.40,0.40,100,E,225.0,75.0,33,2.36e+18,1.00e+16,0,-,-,-,-,-,-,-,0.39,0.39,100,E
90482,Orcus,TNO,1.56,0.22,14,B,919.2,43.5,5,6.33e+20,3.31e+18,1,-,-,-,-,-,-,-,1.57,0.22,14,B
101955,Bennu,APO,1.19,0.00,0,A,0.5,0.0,0,7.33e+10,9.00e+07,0,-,-,-,-,-,B,-,-,-,-,-
134340,Pluto,TNO,1.82,0.02,1,A,2390.0,10.0,0,1.30e+22,7.00e+19,1,-,-,-,-,-,-,-,1.81,0.02,1,A
134860,2000 OJ67,TNO,0.60,0.61,103,E,190.0,65.0,34,2.14e+18,1.10e+17,5,-,-,-,-,-,-,-,0.59,0.61,103,E
136108,Haumea,TNO,1.91,0.09,5,B,1595.2,21.6,1,4.06e+21,8.46e+19,2,-,-,-,-,-,-,-,3.96,0.88,22,C
136199,Eris,TNO,2.50,0.08,3,B,2333.3,22.1,1,1.66e+22,2.00e+20,1,-,-,-,-,-,-,-,2.41,0.23,10,B
136617,1994 CC,NEA,2.08,0.61,29,C,0.6,0.1,10,2.59e+11,1.30e+10,5,-,-,-,-,-,-,-,2.07,0.61,29,C
153591,2001 SN263,AMO,1.01,0.23,23,C,2.6,0.2,8,9.17e+12,2.24e+10,0,-,-,-,-,-,C,-,0.99,0.22,22,C
162173,Ryugu,APO,1.19,0.02,2,A,0.9,0.0,0,4.50e+11,6.00e+09,1,-,-,Cb,-,-,-,-,-,-,-,-
164121,2003 YT1,NEA,1.95,1.15,59,D,1.1,0.2,17,1.27e+12,3.90e+11,31,-,-,-,-,-,-,-,1.9,0.59,31,C
175706,1996 FG3,NEA,1.45,0.67,46,C,1.8,0.2,11,4.27e+12,1.42e+12,33,-,-,C,-,-,-,C,1.36,0.65,48,C
185851,2000 DP107,NEA,0.20,0.13,65,D,1.6,0.3,21,4.60e+11,5.00e+10,11,-,-,-,-,-,-,-,0.95,1.04,109,E
276049,2002 CE26,NEA,0.90,0.30,33,C,3.5,0.3,10,1.95e+13,2.50e+12,13,-,-,-,-,-,-,C,0.89,0.29,33,C
311066,2004 DC,NEA,1.73,0.49,28,C,0.3,0.0,9,3.57e+10,3.57e+09,10,-,-,-,-,-,-,-,1.73,0.49,28,C
494658,2000 UG11,NEA,0.66,0.67,101,E,0.3,0.1,33,9.35e+09,1.59e+09,17,-,-,-,-,-,-,-,0.66,0.67,102,E
524366,2001 XR254,TNO,0.67,0.67,100,E,225.0,75.0,33,4.00e+18,1.70e+17,4,-,-,-,-,-,-,-,0.67,0.67,100,E
